root,clause,Agent,Attribute,Cause,Circumstance,Degree,Entity,FinalCategory,FinalValue,InitialCategory,InitialValue,Manner,Means,Place,Purpose,Time
Deform,he has DEFORMED the music of The Beatles to fit inside the mad brain of Charlie,he,,,,,music of the beatles,,,,,,,,fit inside the mad brain of Charlie,
Deform,Trees and hedges have been DEFORMED by the fierce salt spray and strong sea winds during winter,,,fierce salt spray and strong sea winds,,,Tree and hedges,,,,,,,,,winter
Make,Biologists at Fort Detrick 's newest biodefense center may be asked to MAKE some of the world 's deadliest microbes even more dangerous than they already are,Biologists,,,,,some of the world's deadlist microbes,more dangerous than they already are,,,,,,,,
Make, it will MAKE them partners with the world 's largest democracy,,,it,,,them,partners,,,,,,,,
Make,David MADE it the capital of his newly formed kingdom,David,,,,,it,capital of his newly formed kingdom,,,,,,,,
Make,we want to MAKE Dubai a new trading center,we,,,,,Dubai,new trading center,,,,,,,,
Make,"the newly converted Emperor Constantine MADE Byzantium , renamed Constantinople ",newly converted Emperor Constantine,,,,,Byzantium,,,,,,,,,
Make,You have helped MAKE Goodwill 's work possible with your previous support,you,,,,,Goodwill's work,,possible,,,,your previous support,,,
Modify,The European microelectronics picture was somewhat MODIFIED by the parallel decisions of three European champions ( discussed above ) to reemphasize vertical integration,,,parallel decisions of three European champions,,,European microelectronics picture,,,,,somewhat,,,reemphasize vertical integration,
Modify,"Nigel Lawson considerably MODIFIED the tax framework in which life assurance and pensions schemes operated , removing for instance the tax relief on life insurance premiums",Nigel Lawson,,,,,tax framework in which life assurance and pensions schemes,,,,,considerably,,,,
Modify,The properties of bronze can be further MODIFIED by introducing other metals such as lead,,properties of bronze,introducing other metals such as lead,,,,,,,,,,,,
Modify,The southern boundary of the District was accordingly MODIFIED from the mouth of the Blackwater River in Essex westwards to the Buckinghamshire county boundary,,southern boundary of the district ,,,,,,the buckinghamshire county boundary,,the mouth of the blackwater river,accordingly,,,,
Modify,Paul VI tried to MODIFY the harshness of the early drafts by injecting a tone of patient pastoral compassion,Paul VI,harshness of the early drafts,,,,,,,,,,indecting a tone of patient pastoral compassion,,,
Modify,Those scientists chose to MODIFY the protective belt of the programme by proposing that the initial conditions were inadequate ,scientists,,,,,protective belt of the programmes,,,,,,proposing that the initial conditions were inadequate,,,
Modify,We will MODIFY GDP by incorporating measurements of pollution and resource depletion to create a figure for sustainable national income,we,gdp,,,,,,,,,,incorporating measurements of pollution and resource depletion,,create a figure for sustainable national income,
Modify,ASFV also MODIFIES the immune system in a similar way to AIDS,,,ASFV,,,immun system ,,,,,a similar wat to AIDS,,,,
Modify,Most dogs will then rapidly MODIFY their behavioural response to cats in general,most dogs,,,,,their begavioural response to cats in general,,,,,rapidly,,,,then
Modify,Vmail 's software will be MODIFIED to run with VMX 's Integrated Voice Processing system,,,,,,vmail's software,run with VMX's integrated voice processing system,,,,,,,,
Modify,these traditions were MODIFIED by the consequently increased sensitivity to changing preferences in architectural styles,these tradition,,the consequently increased sentivitiy to changing preferences in architectural syles,,,,,,,,,,,,
Modify,These differences are further MODIFIED by the local geology,,these differences,local geology,,,,,,,,further,,,,
Modify,It could still be MODIFIED for use,,,,,,it,,,,,,,,use,
Modify,The new draft MODIFIES the 1986 legislation in several ways,,,new draft,,,1986 legislation,,,,,several ways,,,,
Modify,The information revolution has subtly MODIFIED the culture of journalism in Britain,,,information revolution,,,culture of journalism in Britain,,,,,subtly,,,,
Modify,Each species MODIFIES the shape of its many paired legs for particular purposes,each species,the shape of its many paired legs,,,,,,,,,,,,for paricular purposes,
Modify,The potatoes have been MODIFIED with the pea lectin gene which stops pests absorbing vital proteins,,,,,,potatoes,,,,,,the pea lectin gene which stop pests absorbing vital poteins,,,
Modify,Each firm will want to MODIFY or amplify this list to meet particular organisational and business needs,each firm,,,,,this list,meet particular organisational and business needs,,,,,,,,
